START TIME: Wed Dec 17 02:44:18 CET 2025
[sbatch-master] running on nid007642
[sbatch-master] SLURM_NODELIST: nid007642
[sbatch-master] SLURM_NNODES: 1
[sbatch-master] SLURM_NODEID: 0
[sbatch-master] define some env vars that will be passed to the compute nodes
[sbatch-master] execute command on compute nodes
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
[srun] rank=0 host=nid007642 noderank=0 localrank=0
2025-12-17 02:44:33,906 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc-2/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=2048, batch_size=1, fused_optimizer=False, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, checkpoint_frequency=100, checkpoint_save_path=None, checkpoint_load_path=None, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, tp_size=1)
Setting device to local rank: 0
[Rank 0] World Size: 1, DP: 0 / 1, TP: 0 / 1
2025-12-17 02:44:35,091 - root - INFO - Setting up DataLoaders...
2025-12-17 02:44:38,243 - root - INFO - Setting up Model...
2025-12-17 02:44:40,250 - root - INFO - Starting training!
2025-12-17 02:47:10,671 - root - INFO - Step: 340 | Loss (Avg): 6.63 | Reserved Memory 86.81 GB  | Tokens per second: 4680.84 | Training tokens per second (%): 31.16 | MFU (%): 22.87 | TFLOP/s/GPU: 226.18
2025-12-17 02:47:12,841 - root - INFO - Step: 345 | Loss (Avg): 6.36 | Reserved Memory 86.81 GB  | Tokens per second: 4719.87 | Training tokens per second (%): 13.10 | MFU (%): 23.06 | TFLOP/s/GPU: 228.06
2025-12-17 02:47:15,034 - root - INFO - Step: 350 | Loss (Avg): 6.57 | Reserved Memory 86.81 GB  | Tokens per second: 4669.60 | Training tokens per second (%): 34.11 | MFU (%): 22.81 | TFLOP/s/GPU: 225.63
2025-12-17 02:47:17,221 - root - INFO - Step: 355 | Loss (Avg): 6.99 | Reserved Memory 86.81 GB  | Tokens per second: 4683.64 | Training tokens per second (%): 44.69 | MFU (%): 22.88 | TFLOP/s/GPU: 226.31
2025-12-17 02:47:19,528 - root - INFO - Step: 360 | Loss (Avg): 7.37 | Reserved Memory 86.81 GB  | Tokens per second: 4439.55 | Training tokens per second (%): 30.18 | MFU (%): 21.69 | TFLOP/s/GPU: 214.52
2025-12-17 02:47:21,714 - root - INFO - Step: 365 | Loss (Avg): 7.30 | Reserved Memory 86.81 GB  | Tokens per second: 4684.96 | Training tokens per second (%): 34.16 | MFU (%): 22.89 | TFLOP/s/GPU: 226.38
2025-12-17 02:47:23,942 - root - INFO - Step: 370 | Loss (Avg): 7.07 | Reserved Memory 86.81 GB  | Tokens per second: 4596.26 | Training tokens per second (%): 70.58 | MFU (%): 22.46 | TFLOP/s/GPU: 222.09
2025-12-17 02:47:26,109 - root - INFO - Step: 375 | Loss (Avg): 7.27 | Reserved Memory 86.81 GB  | Tokens per second: 4726.72 | Training tokens per second (%): 22.38 | MFU (%): 23.09 | TFLOP/s/GPU: 228.40
2025-12-17 02:47:28,303 - root - INFO - Step: 380 | Loss (Avg): 6.70 | Reserved Memory 86.81 GB  | Tokens per second: 4668.56 | Training tokens per second (%): 40.02 | MFU (%): 22.81 | TFLOP/s/GPU: 225.58
2025-12-17 02:47:30,507 - root - INFO - Step: 385 | Loss (Avg): 6.94 | Reserved Memory 86.81 GB  | Tokens per second: 4645.19 | Training tokens per second (%): 46.11 | MFU (%): 22.70 | TFLOP/s/GPU: 224.46
2025-12-17 02:47:32,686 - root - INFO - Step: 390 | Loss (Avg): 7.79 | Reserved Memory 86.81 GB  | Tokens per second: 4700.06 | Training tokens per second (%): 29.31 | MFU (%): 22.96 | TFLOP/s/GPU: 227.11
2025-12-17 02:47:34,888 - root - INFO - Step: 395 | Loss (Avg): 7.67 | Reserved Memory 86.81 GB  | Tokens per second: 4652.97 | Training tokens per second (%): 48.20 | MFU (%): 22.73 | TFLOP/s/GPU: 224.83
2025-12-17 02:47:37,119 - root - INFO - Step: 400 | Loss (Avg): 7.29 | Reserved Memory 86.81 GB  | Tokens per second: 4590.52 | Training tokens per second (%): 70.53 | MFU (%): 22.43 | TFLOP/s/GPU: 221.81
2025-12-17 02:47:39,298 - root - INFO - Step: 405 | Loss (Avg): 6.72 | Reserved Memory 86.81 GB  | Tokens per second: 4699.90 | Training tokens per second (%): 36.20 | MFU (%): 22.96 | TFLOP/s/GPU: 227.10
2025-12-17 02:47:41,530 - root - INFO - Step: 410 | Loss (Avg): 6.85 | Reserved Memory 86.81 GB  | Tokens per second: 4587.75 | Training tokens per second (%): 68.33 | MFU (%): 22.41 | TFLOP/s/GPU: 221.68
2025-12-17 02:47:43,717 - root - INFO - Step: 415 | Loss (Avg): 7.77 | Reserved Memory 86.81 GB  | Tokens per second: 4684.63 | Training tokens per second (%): 24.74 | MFU (%): 22.89 | TFLOP/s/GPU: 226.36
2025-12-17 02:47:45,910 - root - INFO - Step: 420 | Loss (Avg): 6.99 | Reserved Memory 86.81 GB  | Tokens per second: 4670.19 | Training tokens per second (%): 37.58 | MFU (%): 22.82 | TFLOP/s/GPU: 225.66
2025-12-17 02:47:48,097 - root - INFO - Step: 425 | Loss (Avg): 8.02 | Reserved Memory 86.81 GB  | Tokens per second: 4683.01 | Training tokens per second (%): 39.41 | MFU (%): 22.88 | TFLOP/s/GPU: 226.28
2025-12-17 02:47:50,282 - root - INFO - Step: 430 | Loss (Avg): 6.72 | Reserved Memory 86.81 GB  | Tokens per second: 4687.51 | Training tokens per second (%): 24.36 | MFU (%): 22.90 | TFLOP/s/GPU: 226.50
2025-12-17 02:47:52,473 - root - INFO - Step: 435 | Loss (Avg): 7.39 | Reserved Memory 86.81 GB  | Tokens per second: 4673.50 | Training tokens per second (%): 32.19 | MFU (%): 22.83 | TFLOP/s/GPU: 225.82
